P	TfS	PE	MPE
CC	0,869	0,75	0,677
CD	0,334	0,363	0,687
DT	0,071	0,453	0,388
IN	-0,069	0,365	0,254
JJ	-0,034	0,285	0,395
JJR	-0,136	0,392	0,151
JJS	0,403	0,376	0,12
MD	0,143	0,655	0,661
NN	0,037	0,505	0,458
NNP	0,059	0,252	0,297
NNS	0,247	0,665	0,421
all N	0,105	0,508	0,416
POS	0,969	0,526	0,479
PRP	0,486	1,481	0,654
{PRP\$}	0,209	0,487	0,53
RB	0,032	0,527	0,397
RBR	0	0,229	0,55
RBS	-0,75	0	0
RP	-0,034	1,176	0,675
TO	0,074	0,522	0,375
VB	-0,056	0,733	0,486
VBD	-0,053	0,616	0,448
VBG	-0,148	0,635	0,443
VBN	0,019	1,031	0,709
VBP	-0,339	0,514	0,47
VBZ	-0,076	0,532	0,467
WDT	1,798	0,318	1,042
WP	2,037	2,691	0,072
WRB	-0,875	0	0
