P	MPE2	MPE1	PE1	PE2	TfS1	TfS2
P01	303	692,2	693,2	335,9	531	778,1
P02	854,3	816,3	663,4	940,4	1181,5	705,3
P03	467,2	434,1	467,2	443,7	464,8	734,6
P04	503,8	1041,7	910,7	750,7	1075,9	1438,4
P05	784,8	1043,4	849	905,1	1546,8	1293,3
P06	573	497,6	644,6	715,4	1047	1007,5
P07	689,9	690,1	807,5	0	1169,4	1437,6
P08	675,6	646,9	588,6	575,2	1610,8	756,5
P09	557,2	379,9	1045,8	0	917,5	0
P10	694,8	1092,7	698,1	1197,4	897,7	1119,5
P11	607,2	0	619,7	828,5	772,6	947,7
P12	407,9	403,6	680,1	514,1	1047,2	1581,1
P13	486,2	636,4	867,3	467,5	871,2	1511,5
P14	644,7	880,7	437,1	503,5	695,3	700,9
P15	740,4	370,8	618,1	758,5	1137,2	1032,7
P16	792,3	491	851	1027,1	969,6	737,7
P17	772,5	926,5	818,5	1032,7	1184,1	0
P18	805,8	588,9	901,9	1119	1116,3	578
P19	0	0	0	0	1134,4	694
P20	1074,7	0	578,8	603,3	794	1334
P21	377	303,7	445,5	334,2	482,4	398,2
P22	1110,1	1018,4	1041,6	1112,4	984,5	890,5
P23	612,7	494,5	1019,6	989,2	1281,2	1428,4
P24	620,3	484,5	508,5	649,2	686,5	0
